03-06 23:19 INFO     b'GET http://www.nature.com/index.html HTTP/1.1\r\nHost: www.nature.com\r\nProxy-Connection: keep-alive\r\nCache-Control: max-age=0\r\nAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8\r\nUpgrade-Insecure-Requests: 1\r\nUser-Agent: Mozilla/5.0 (Linux; Android 5.0.1; HTC6525LVW Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.95 Mobile Safari/537.36\r\nAccept-Encoding: gzip, deflate, sdch\r\nAccept-Language: en-US,en;q=0.8\r\nCookie: SaneID=173.205.24.158.1457332628147823; JSESSIONID=1dgn8q40hbde21xcczt5h32y5a; _cb_ls=1; __utma=258326165.1866009849.1457333398.1457333398.1457333398.1; __utmb=258326165.5.10.1457333398; __utmc=258326165; __utmz=258326165.1457333398.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none); _chartbeat2=B-5HRRBeVZP_DVbofV.1457332647176.1457335107079.1; WT_FPC=id=1423ae7f-398e-4bb6-bdd7-8e99de322574:lv=1457345907162:ss=1457343456160; _chartbeat4=t=CABpfrC1iKqrBp03IbB0P9VDBwzo8m&E=6&EE=6&x=0&c=0.86&y=3598&w=511\r\n\r\n'
03-06 23:19 INFO     b''
03-06 23:19 INFO     b''
03-06 23:19 WARNING  b'NONE: '
03-06 23:19 INFO     b'GET http://www.nature.com/index.html HTTP/1.1\r\nHost: www.nature.com\r\nProxy-Connection: keep-alive\r\nCache-Control: max-age=0\r\nAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8\r\nUpgrade-Insecure-Requests: 1\r\nUser-Agent: Mozilla/5.0 (Linux; Android 5.0.1; HTC6525LVW Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.95 Mobile Safari/537.36\r\nAccept-Encoding: gzip, deflate, sdch\r\nAccept-Language: en-US,en;q=0.8\r\nCookie: SaneID=173.205.24.158.1457332628147823; JSESSIONID=1dgn8q40hbde21xcczt5h32y5a; _cb_ls=1; __utma=258326165.1866009849.1457333398.1457333398.1457333398.1; __utmb=258326165.5.10.1457333398; __utmc=258326165; __utmz=258326165.1457333398.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none); _chartbeat2=B-5HRRBeVZP_DVbofV.1457332647176.1457335107079.1; WT_FPC=id=1423ae7f-398e-4bb6-bdd7-8e99de322574:lv=1457345907162:ss=1457343456160; _chartbeat4=t=CABpfrC1iKqrBp03IbB0P9VDBwzo8m&E=6&EE=6&x=0&c=0.86&y=3598&w=511\r\n\r\n'
03-06 23:19 INFO     b''
03-06 23:19 INFO     b'CONNECT ssl.google-analytics.com:443 HTTP/1.1\r\nUser-Agent: Apache-HttpClient/UNAVAILABLE (java 1.4)\r\nHost: ssl.google-analytics.com\r\n\r\n'
03-06 23:19 WARNING  b'NONE: CONNECT ssl.google-analytics.com:443 HTTP/1.1\r\nUser-Agent: Apache-HttpClient/UNAVAILABLE (java 1.4)\r\nHost: ssl.google-analytics.com\r\n\r\n'
03-06 23:19 INFO     b'CONNECT ssl.google-analytics.com:443 HTTP/1.1\r\nUser-Agent: Apache-HttpClient/UNAVAILABLE (java 1.4)\r\nHost: ssl.google-analytics.com\r\n\r\n'
03-06 23:19 WARNING  b'NONE: CONNECT ssl.google-analytics.com:443 HTTP/1.1\r\nUser-Agent: Apache-HttpClient/UNAVAILABLE (java 1.4)\r\nHost: ssl.google-analytics.com\r\n\r\n'
03-06 23:19 INFO     b'CONNECT ssl.google-analytics.com:443 HTTP/1.1\r\nUser-Agent: Apache-HttpClient/UNAVAILABLE (java 1.4)\r\nHost: ssl.google-analytics.com\r\n\r\n'
03-06 23:19 WARNING  b'NONE: CONNECT ssl.google-analytics.com:443 HTTP/1.1\r\nUser-Agent: Apache-HttpClient/UNAVAILABLE (java 1.4)\r\nHost: ssl.google-analytics.com\r\n\r\n'
03-06 23:19 INFO     b'GET http://www.nature.com/index.html HTTP/1.1\r\nHost: www.nature.com\r\nProxy-Connection: keep-alive\r\nCache-Control: max-age=0\r\nAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8\r\nUpgrade-Insecure-Requests: 1\r\nUser-Agent: Mozilla/5.0 (Linux; Android 5.0.1; HTC6525LVW Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.95 Mobile Safari/537.36\r\nAccept-Encoding: gzip, deflate, sdch\r\nAccept-Language: en-US,en;q=0.8\r\nCookie: SaneID=173.205.24.158.1457332628147823; JSESSIONID=1dgn8q40hbde21xcczt5h32y5a; _cb_ls=1; __utma=258326165.1866009849.1457333398.1457333398.1457333398.1; __utmb=258326165.5.10.1457333398; __utmc=258326165; __utmz=258326165.1457333398.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none); _chartbeat2=B-5HRRBeVZP_DVbofV.1457332647176.1457335107079.1; WT_FPC=id=1423ae7f-398e-4bb6-bdd7-8e99de322574:lv=1457345907162:ss=1457343456160; _chartbeat4=t=CABpfrC1iKqrBp03IbB0P9VDBwzo8m&E=6&EE=6&x=0&c=0.86&y=3598&w=511\r\n\r\n'
03-06 23:19 INFO     b''
03-06 23:19 INFO     b'CONNECT ssl.google-analytics.com:443 HTTP/1.1\r\nUser-Agent: Apache-HttpClient/UNAVAILABLE (java 1.4)\r\nHost: ssl.google-analytics.com\r\n\r\n'
03-06 23:19 WARNING  b'NONE: CONNECT ssl.google-analytics.com:443 HTTP/1.1\r\nUser-Agent: Apache-HttpClient/UNAVAILABLE (java 1.4)\r\nHost: ssl.google-analytics.com\r\n\r\n'
03-06 23:19 INFO     b'CONNECT graph.instagram.com:443 HTTP/1.1\r\nHost: graph.instagram.com:443\r\nProxy-Connection: keep-alive\r\nUser-Agent: Instagram 7.17.0 Android (21/5.0.1; 480dpi; 1080x1776; HTC/htc; HTC6525LVW; htc_m8wl; qcom; en_US)\r\n\r\n'
03-06 23:19 WARNING  b'NONE: CONNECT graph.instagram.com:443 HTTP/1.1\r\nHost: graph.instagram.com:443\r\nProxy-Connection: keep-alive\r\nUser-Agent: Instagram 7.17.0 Android (21/5.0.1; 480dpi; 1080x1776; HTC/htc; HTC6525LVW; htc_m8wl; qcom; en_US)\r\n\r\n'
03-06 23:20 INFO     b'CONNECT ssl.google-analytics.com:443 HTTP/1.1\r\nUser-Agent: Apache-HttpClient/UNAVAILABLE (java 1.4)\r\nHost: ssl.google-analytics.com\r\n\r\n'
03-06 23:20 WARNING  b'NONE: CONNECT ssl.google-analytics.com:443 HTTP/1.1\r\nUser-Agent: Apache-HttpClient/UNAVAILABLE (java 1.4)\r\nHost: ssl.google-analytics.com\r\n\r\n'
03-06 23:20 INFO     b'GET http://accounts.google.com HTTP/1.1\r\nUser-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 Safari/537.36\r\nHost: accounts.google.com\r\nConnection: Keep-Alive\r\nAccept-Encoding: gzip\r\n\r\n'
03-06 23:20 INFO     b"HTTP/1.1 404 Not Found\r\nContent-Type: text/html; charset=UTF-8\r\nContent-Encoding: gzip\r\nDate: Mon, 07 Mar 2016 07:20:19 GMT\r\nExpires: Mon, 07 Mar 2016 07:20:19 GMT\r\nCache-Control: private, max-age=0\r\nX-Content-Type-Options: nosniff\r\nX-Frame-Options: SAMEORIGIN\r\nX-XSS-Protection: 1; mode=block\r\nContent-Length: 117\r\nServer: GSE\r\n\r\n\x1f\x8b\x08\x00\x00\x00\x00\x00\x00\x00\xb3\xf1\x08\xf1\xf5\xb1\xe3\xb2\xf1put\x01R!\x9e!>\xaev~\xf9%\nn\xf9\xa5y)6\xfa\x10\x01.\x1b}\xa8\x02'\x7f\x97H\x05'wg\x7f\x1f\xff [%e70PR\x08q\x8d\x08\x01r\r\xc0@\td\x9e!\xb2)@\x1eP\xc8\xc8\xce\xb5\xa8(\xbfH\xc1\xc4\xc0\x04(d\x042\x15d\x1c\xd8t\xb0+\x00\x1e\xa3\x03\xfc\x8d\x00\x00\x00"
03-06 23:20 INFO     b'GET http://accounts.google.com HTTP/1.1\r\nUser-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 Safari/537.36\r\nHost: accounts.google.com\r\nConnection: Keep-Alive\r\nAccept-Encoding: gzip\r\n\r\n'
03-06 23:20 INFO     b"HTTP/1.1 404 Not Found\r\nContent-Type: text/html; charset=UTF-8\r\nContent-Encoding: gzip\r\nDate: Mon, 07 Mar 2016 07:20:20 GMT\r\nExpires: Mon, 07 Mar 2016 07:20:20 GMT\r\nCache-Control: private, max-age=0\r\nX-Content-Type-Options: nosniff\r\nX-Frame-Options: SAMEORIGIN\r\nX-XSS-Protection: 1; mode=block\r\nContent-Length: 117\r\nServer: GSE\r\n\r\n\x1f\x8b\x08\x00\x00\x00\x00\x00\x00\x00\xb3\xf1\x08\xf1\xf5\xb1\xe3\xb2\xf1put\x01R!\x9e!>\xaev~\xf9%\nn\xf9\xa5y)6\xfa\x10\x01.\x1b}\xa8\x02'\x7f\x97H\x05'wg\x7f\x1f\xff [%e70PR\x08q\x8d\x08\x01r\r\xc0@\td\x9e!\xb2)@\x1eP\xc8\xc8\xce\xb5\xa8(\xbfH\xc1\xc4\xc0\x04(d\x042\x15d\x1c\xd8t\xb0+\x00\x1e\xa3\x03\xfc\x8d\x00\x00\x00"
03-06 23:20 INFO     b'GET http://www.google.com HTTP/1.1\r\nUser-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 Safari/537.36\r\nHost: www.google.com\r\nConnection: Keep-Alive\r\nAccept-Encoding: gzip\r\n\r\n'
